순위,종목명,종목코드,현재가,PER,PBR,ROE(%),BPS,거래량급증,거래량비율
1,KC그린홀딩스,009440,756,0.46,0.11,23.913043478260867,7136,False,
2,서연,007860,10780,1.75,0.29,16.57142857142857,37694,False,0.68
3,케이비아이동국실업,001620,594,2.59,0.3,11.583011583011583,1991,False,1.39
4,세아제강,306200,127100,2.6,0.32,12.307692307692307,397327,False,0.53
5,한익스프레스,014130,2865,2.02,0.34,16.831683168316832,8308,False,0.44
6,한국가스공사,036460,42000,3.19,0.34,10.65830721003135,124079,False,0.66
7,삼정펄프,009770,35350,2.33,0.34,14.592274678111588,103335,False,0.82
8,NPC,004250,3910,2.07,0.34,16.425120772946862,11496,False,0.37
9,한진중공업홀딩스,003480,5170,2.39,0.35,14.644351464435147,14905,True,1.78
10,흥국화재,000540,4400,3.02,0.37,12.251655629139073,11857,True,2.83
11,서연이화,200880,15400,2.83,0.38,13.427561837455832,40698,False,0.3
12,서원,021050,1251,1.2,0.39,32.5,3209,False,0.17
13,현대코퍼레이션홀딩스,227840,13560,2.8,0.4,14.285714285714288,33621,True,1.61
14,호전실업,111110,8070,3.15,0.4,12.698412698412701,19955,False,0.6
15,GS글로벌,001250,2585,3.93,0.4,10.178117048346056,6449,True,1.66
16,한화손해보험,000370,7560,3.56,0.41,11.516853932584269,18660,True,1.6
17,한국무브넥스,010100,5260,3.58,0.42,11.731843575418994,12661,False,0.13
18,KSS해운,044450,10600,4.17,0.45,10.79136690647482,23452,False,0.73
19,화승알앤에이,378850,3600,2.11,0.45,21.32701421800948,7924,False,0.36
20,사조대림,003960,38550,3.35,0.46,13.73134328358209,83132,False,1.29
21,현대코퍼레이션,011760,25900,2.57,0.48,18.67704280155642,54282,False,0.71
22,화승인더,006060,3450,4.37,0.48,10.983981693363845,7147,False,1.08
23,아이티센씨티에스,031820,732,4.75,0.49,10.31578947368421,1479,True,7.24
24,태원물산,001420,3100,1.3,0.5,38.46153846153846,6174,False,0.43
25,미래산업,025560,14650,4.53,0.5,11.037527593818984,29136,False,0.73
26,동성케미컬,102260,4510,4.97,0.5,10.06036217303823,8953,False,0.9
27,미창석유,003650,138000,3.97,0.51,12.846347607052897,272644,False,1.18
28,영보화학,014440,4910,4.24,0.52,12.264150943396226,9377,False,0.99
29,코오롱,002020,63600,5.12,0.53,10.3515625,120681,False,0.52
30,화승코퍼레이션,013520,2580,4.29,0.54,12.587412587412588,4776,False,0.77
31,STX그린로지스,465770,5830,1.68,0.55,32.73809523809524,10564,False,0.98
32,동원금속,018500,1605,3.54,0.56,15.819209039548024,2844,False,0.4
33,노루홀딩스,000320,25050,5.18,0.56,10.810810810810812,44812,True,2.07
34,한국공항,005430,69400,5.23,0.57,10.898661567877626,121065,False,0.78
35,동양생명,082640,7320,3.63,0.58,15.977961432506888,12611,False,1.45
36,대창단조,015230,6880,5.22,0.58,11.11111111111111,11880,False,0.74
37,동원수산,030720,6040,5.5,0.58,10.545454545454545,10484,False,0.64
38,현대해상,001450,35450,3.27,0.59,18.04281345565749,60491,True,2.09
39,태경비케이,014580,4670,4.71,0.6,12.738853503184714,7802,False,1.33
40,쿠쿠홈시스,284740,25350,4.64,0.6,12.931034482758621,42011,False,1.27
41,세방전지,004490,66900,5.19,0.6,11.560693641618496,111559,False,0.7
42,디와이덕양,024900,2110,4.06,0.64,15.763546798029559,3273,False,0.39
43,해태제과식품,101530,6980,5.83,0.64,10.977701543739279,10963,False,1.09
44,조선선재,120030,105300,6.35,0.64,10.078740157480317,165471,False,1.07
45,삼영무역,002810,20800,6.46,0.66,10.21671826625387,31691,False,1.14
46,동인기연,111380,16650,5.78,0.66,11.418685121107266,25210,False,0.6
47,인바이오젠,101140,10630,6.58,0.66,10.030395136778116,16007,False,0.7
48,영화금속,012280,982,5.78,0.67,11.591695501730104,1461,True,1.66
49,현대지에프홀딩스,005440,14420,3.22,0.67,20.80745341614907,21615,True,4.8
50,HMM,011200,21450,4.29,0.68,15.850815850815852,31615,False,1.22
51,HS애드,035000,8640,6.17,0.69,11.183144246353322,12518,False,1.07
52,명신산업,009900,9360,3.8,0.7,18.421052631578945,13293,False,0.88
53,한국단자,025540,74000,5.37,0.71,13.221601489757914,104324,False,0.66
54,화신,010690,10670,6.92,0.72,10.404624277456648,14891,False,1.29
55,한일시멘트,300720,18020,6.78,0.73,10.766961651917404,24826,False,0.66
56,쿠쿠홀딩스,192400,28750,6.51,0.75,11.52073732718894,38498,False,0.59
57,SNT홀딩스,036530,64800,6.56,0.76,11.585365853658537,85501,False,1.38
58,제이에스코퍼레이션,194370,13300,3.62,0.77,21.2707182320442,17356,False,0.62
59,덴티움,145720,49400,5.86,0.77,13.139931740614333,64317,False,1.4
60,한국타이어앤테크놀로지,161390,72100,7.89,0.79,10.012674271229404,90995,False,0.71
61,동방,004140,2625,6.12,0.8,13.071895424836603,3280,False,0.43
62,현대그린푸드,453340,16170,7.38,0.8,10.840108401084011,20095,False,0.77
63,우신시스템,017370,6750,3.09,0.81,26.213592233009713,8316,False,0.2
64,DB,012030,1715,3.53,0.83,23.51274787535411,2060,False,0.55
65,LX세미콘,108320,55300,6.89,0.83,12.046444121915819,66378,False,0.94
66,다우기술,023590,55800,6.77,0.83,12.259970457902511,66912,False,1.18
67,체시스,033250,1024,5.39,0.85,15.769944341372913,1208,True,2.04
68,대한항공,003490,24800,6.95,0.87,12.51798561151079,28356,False,0.93
69,SPC삼립,005610,51500,4.83,0.87,18.012422360248447,59200,False,0.55
70,애경산업,018250,14130,8.37,0.91,10.872162485065711,15580,False,0.8
71,삼진제약,005500,19400,6.24,0.91,14.583333333333334,21346,True,1.75
72,더블유게임즈,192080,53700,5.69,0.94,16.52021089630931,57067,False,1.13
73,태영건설,009410,1711,8.73,0.96,10.99656357388316,1780,False,0.72
74,강원랜드,035250,18860,8.36,0.97,11.60287081339713,19379,False,0.72
75,DN오토모티브,007340,32800,5.27,0.97,18.40607210626186,33645,True,1.96
76,일동홀딩스,000230,11650,2.09,0.98,46.889952153110045,11857,False,0.69
